category,year,tags,clean_name,tag_count,total_tag
Fabric / Stitches,2020,twisted-stitches,Twisted stitches,345,2837
Fabric / Stitches,2021,twisted-stitches,Twisted stitches,357,2837
Fabric / Stitches,2022,twisted-stitches,Twisted stitches,283,2837
Fabric / Stitches,2023,twisted-stitches,Twisted stitches,239,2837
Fabric / Stitches,2013,lace,Lace,469,5531
Fabric / Stitches,2014,lace,Lace,423,5531
Fabric / Stitches,2015,lace,Lace,489,5531
Fabric / Stitches,2016,lace,Lace,446,5531
Fabric / Stitches,2017,lace,Lace,488,5531
Fabric / Stitches,2018,lace,Lace,527,5531
Fabric / Stitches,2019,lace,Lace,506,5531
Fabric / Stitches,2020,lace,Lace,660,5531
Fabric / Stitches,2021,lace,Lace,645,5531
Fabric / Stitches,2022,lace,Lace,508,5531
Fabric / Stitches,2023,lace,Lace,370,5531
Fabric / Stitches,2013,textured,Textured,340,5646
Fabric / Stitches,2014,textured,Textured,360,5646
Fabric / Stitches,2015,textured,Textured,366,5646
Fabric / Stitches,2016,textured,Textured,375,5646
Fabric / Stitches,2017,textured,Textured,496,5646
Fabric / Stitches,2018,textured,Textured,551,5646
Fabric / Stitches,2019,textured,Textured,622,5646
Fabric / Stitches,2020,textured,Textured,714,5646
Fabric / Stitches,2021,textured,Textured,720,5646
Fabric / Stitches,2022,textured,Textured,621,5646
Fabric / Stitches,2023,textured,Textured,481,5646
Fabric / Stitches,2013,cables,Cables,567,6358
Fabric / Stitches,2014,cables,Cables,524,6358
Fabric / Stitches,2015,cables,Cables,559,6358
Fabric / Stitches,2016,cables,Cables,544,6358
Fabric / Stitches,2017,cables,Cables,522,6358
Fabric / Stitches,2018,cables,Cables,618,6358
Fabric / Stitches,2019,cables,Cables,601,6358
Fabric / Stitches,2020,cables,Cables,687,6358
Fabric / Stitches,2021,cables,Cables,675,6358
Fabric / Stitches,2022,cables,Cables,551,6358
Fabric / Stitches,2023,cables,Cables,510,6358
Fabric / Stitches,2013,ribbed,Ribbed / ribbing,609,7846
Fabric / Stitches,2014,ribbed,Ribbed / ribbing,558,7846
Fabric / Stitches,2015,ribbed,Ribbed / ribbing,603,7846
Fabric / Stitches,2016,ribbed,Ribbed / ribbing,544,7846
Fabric / Stitches,2017,ribbed,Ribbed / ribbing,702,7846
Fabric / Stitches,2018,ribbed,Ribbed / ribbing,739,7846
Fabric / Stitches,2019,ribbed,Ribbed / ribbing,750,7846
Fabric / Stitches,2020,ribbed,Ribbed / ribbing,906,7846
Fabric / Stitches,2021,ribbed,Ribbed / ribbing,977,7846
Fabric / Stitches,2022,ribbed,Ribbed / ribbing,784,7846
Fabric / Stitches,2023,ribbed,Ribbed / ribbing,674,7846
Heel,2013,afterthought-heel,Afterthought heel,83,1905
Heel,2013,dutch-heel,Dutch heel,87,1006
Heel,2013,heel-flap,Heel flap,1077,14871
Heel,2013,other-heel,Other heel,172,2422
Heel,2013,short-row-heel,Short row heel,397,6673
Heel,2014,afterthought-heel,Afterthought heel,75,1905
Heel,2014,dutch-heel,Dutch heel,51,1006
Heel,2014,heel-flap,Heel flap,1018,14871
Heel,2014,other-heel,Other heel,203,2422
Heel,2014,short-row-heel,Short row heel,383,6673
Heel,2015,afterthought-heel,Afterthought heel,108,1905
Heel,2015,dutch-heel,Dutch heel,36,1006
Heel,2015,heel-flap,Heel flap,1066,14871
Heel,2015,other-heel,Other heel,199,2422
Heel,2015,short-row-heel,Short row heel,355,6673
Heel,2016,afterthought-heel,Afterthought heel,121,1905
Heel,2016,dutch-heel,Dutch heel,50,1006
Heel,2016,heel-flap,Heel flap,1043,14871
Heel,2016,other-heel,Other heel,159,2422
Heel,2016,short-row-heel,Short row heel,428,6673
Heel,2017,afterthought-heel,Afterthought heel,164,1905
Heel,2017,dutch-heel,Dutch heel,102,1006
Heel,2017,heel-flap,Heel flap,1160,14871
Heel,2017,other-heel,Other heel,192,2422
Heel,2017,short-row-heel,Short row heel,620,6673
Heel,2018,afterthought-heel,Afterthought heel,189,1905
Heel,2018,dutch-heel,Dutch heel,101,1006
Heel,2018,heel-flap,Heel flap,1355,14871
Heel,2018,other-heel,Other heel,189,2422
Heel,2018,short-row-heel,Short row heel,648,6673
Heel,2019,afterthought-heel,Afterthought heel,204,1905
Heel,2019,dutch-heel,Dutch heel,113,1006
Heel,2019,heel-flap,Heel flap,1360,14871
Heel,2019,other-heel,Other heel,209,2422
Heel,2019,short-row-heel,Short row heel,648,6673
Heel,2020,afterthought-heel,Afterthought heel,216,1905
Heel,2020,dutch-heel,Dutch heel,102,1006
Heel,2020,heel-flap,Heel flap,1792,14871
Heel,2020,other-heel,Other heel,308,2422
Heel,2020,short-row-heel,Short row heel,818,6673
Heel,2021,afterthought-heel,Afterthought heel,297,1905
Heel,2021,dutch-heel,Dutch heel,141,1006
Heel,2021,heel-flap,Heel flap,1785,14871
Heel,2021,other-heel,Other heel,282,2422
Heel,2021,short-row-heel,Short row heel,835,6673
Heel,2022,afterthought-heel,Afterthought heel,262,1905
Heel,2022,dutch-heel,Dutch heel,118,1006
Heel,2022,heel-flap,Heel flap,1592,14871
Heel,2022,other-heel,Other heel,282,2422
Heel,2022,short-row-heel,Short row heel,794,6673
Heel,2023,afterthought-heel,Afterthought heel,186,1905
Heel,2023,dutch-heel,Dutch heel,105,1006
Heel,2023,heel-flap,Heel flap,1623,14871
Heel,2023,other-heel,Other heel,227,2422
Heel,2023,short-row-heel,Short row heel,747,6673
Sock Method,2013,2-at-a-time,Two at a time,58,935
Sock Method,2013,noshaping,No shaping,65,1140
Sock Method,2013,seamed-sock,Seamed sock,48,231
Sock Method,2013,shaped-arches,Shaped arches,43,585
Sock Method,2013,start-in-middle,Starting in middle,8,120
Sock Method,2013,toe-up,Toe up,497,8390
Sock Method,2013,top-cuff-down,Top cuff down,1678,23415
Sock Method,2014,2-at-a-time,Two at a time,73,935
Sock Method,2014,noshaping,No shaping,82,1140
Sock Method,2014,seamed-sock,Seamed sock,12,231
Sock Method,2014,shaped-arches,Shaped arches,33,585
Sock Method,2014,start-in-middle,Starting in middle,10,120
Sock Method,2014,toe-up,Toe up,636,8390
Sock Method,2014,top-cuff-down,Top cuff down,1522,23415
Sock Method,2015,2-at-a-time,Two at a time,93,935
Sock Method,2015,noshaping,No shaping,62,1140
Sock Method,2015,seamed-sock,Seamed sock,14,231
Sock Method,2015,shaped-arches,Shaped arches,35,585
Sock Method,2015,start-in-middle,Starting in middle,6,120
Sock Method,2015,toe-up,Toe up,576,8390
Sock Method,2015,top-cuff-down,Top cuff down,1558,23415
Sock Method,2016,2-at-a-time,Two at a time,115,935
Sock Method,2016,noshaping,No shaping,89,1140
Sock Method,2016,seamed-sock,Seamed sock,17,231
Sock Method,2016,shaped-arches,Shaped arches,51,585
Sock Method,2016,start-in-middle,Starting in middle,13,120
Sock Method,2016,toe-up,Toe up,594,8390
Sock Method,2016,top-cuff-down,Top cuff down,1586,23415
Sock Method,2017,2-at-a-time,Two at a time,96,935
Sock Method,2017,noshaping,No shaping,87,1140
Sock Method,2017,seamed-sock,Seamed sock,13,231
Sock Method,2017,shaped-arches,Shaped arches,55,585
